item_name,description,github,gist,gitlab,bitbucket,launchpad,twitter,youtube,blogpost,cran,pypi,codeberg,website,publication,DOI,author1_name,author2_name,author3_name,author4_name,author5_name,author6_name,category,platform,tag1,tag2,tag3,tag4,tag5,notes,internetarchive
AncientMetagenomeDir,"AncientMetagenomeDir is a community-driven repository curated by the SPAAM Community, offering comprehensive lists of published ancient metagenome samples. By aggregating references, metadata, and related resources from diverse studies around the world, it provides an essential central point for researchers working on archaeo- and palaeo-genomic projects. This repository helps streamline comparative analyses by hosting standardized information and regularly updating relevant data. Although it is a valuable resource for those interested in ancient metagenomics, it primarily serves as a static directory rather than an interactive software tool for active data processing.",https://github.com/SPAAM-community/AncientMetagenomeDir,,,,,,,,,,,,,,SPAAM-community,,,,,,Lists and datasets,,Archaeogenetics,Palaeobotany,Lists,,,,https://archive.org/details/github.com-SPAAM-community-AncientMetagenomeDir_-_2021-02-02_19-45-27
arches,"Arches is a comprehensive, open-source software platform designed to support the needs of cultural heritage and research organizations by providing robust tools for creating, managing, and visualizing complex geospatial data. Inspired by the needs of heritage communities, it helps build and maintain resource inventories, fosters collaboration, and ensures data can be analyzed and shared. Arches also supports customizable workflows and advanced data modeling.",https://github.com/archesproject/arches,,,,,,,,,,,https://www.archesproject.org/,,,archesproject,,,,,,Standalone software,,Data management,archhist-software-tool,,,,,https://archive.org/details/github.com-archesproject-arches_-_2021-02-04_04-54-27
Potential datasets for PhD projects,"This curated Google Doc offers a wide range of archaeological and anthropological data sources, including publicly available databases, archives, and specialized collections. Aimed at PhD students who must adapt or modify their research projects in response to COVID-19, it provides practical guidance on accessing, analyzing, and interpreting these valuable resources from various regions and time periods. With an emphasis on flexible, remote-friendly work, it allows researchers to continue despite travel limitations or temporary lab closures.",,,,,,,,,,,,https://docs.google.com/document/d/1BuIJ0ZXzzh838qvMOu59dLCCEz9xE3JnC76oHN-kMTU/edit,,,Taryn Bell,,,,,,Lists and datasets,,Lists,,,,,,
ADMUR,"ADMUR is an R package designed to model underlying population dynamics using chronological datasets, particularly radiocarbon data, through a variety of frameworks such as Continuous Piecewise Linear (CPL) modeling. Using BIC-based model comparison, it can calibrate 14C samples and generate Summed Probability Distributions (SPD). CPL modeling can estimate the most likely population trajectory from input data, and SPD simulation analysis helps measure model fit. The package thereby offers robust tools to explore and compare demographic trends in archaeological or paleoenvironmental contexts.",https://github.com/UCL/ADMUR,,,,,,,,,,,,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0723,10.1098/rstb.2019.0723,Adrian Timpson,Ramiro Barberena,Mark G. Thomas,César Méndez,Katie Manning,,Packages and libraries,R,Chronological modelling,archhist-software-tool,,,,,https://archive.org/details/github.com-UCL-ADMUR_-_2021-01-27_11-48-18
Classical and ancient Linked Open Data,"The 'Classical and ancient Linked Open Data' resource is a curated repository that brings together a broad range of open, online data sets focusing on classics and ancient history. This collection serves as a centralized reference for researchers, historians, archaeologists, and enthusiasts, offering direct links to publicly available datasets that inform studies of ancient civilizations, languages, texts, and artifacts. By aggregating diverse data sources, the resource helps users efficiently discover relevant open data for comparative analysis, cross-referencing, and further interpretation, enabling more robust scholarship and collaborative research across related disciplines.",,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1aAssGGswX2WNMllV4kMYexBGS8miCywbW5XdcIeE22c/edit#gid=1033348216,,,Gabriel Bodard,Paula Granados García,Sarah Middle,Elton Barker,,,Lists and datasets,,Lists,Datasets,,,,,
ODK-forms-archaeology,"This repository provides specialized Open Data Kit (ODK) forms tailored for archaeological data collection in the field. By leveraging the ODK platform, these forms enable researchers to capture detailed information about sites, artifacts, layers, and observations on mobile devices, even offline. Data is then synced or exported for additional analysis or archiving. The project streamlines workflows and enhances data quality through predefined prompts and standardized entry fields, making it an ideal tool for archaeologists who need reliable, flexible, and efficient means to gather structured data in remote or challenging field environments.",https://github.com/isaacullah/ODK-forms-archaeology,,,,,,,,,,,,,,isaacullah,,,,,,Packages and libraries,Open Data Kit,Templates,Data collection,archhist-software-tool,,,https://archive.org/details/github.com-isaacullah-ODK-forms-archaeology_-_2021-01-11_23-33-22
harris-matrix-data-package,This data package provides a formal specification for structuring, documenting, and sharing archaeological stratigraphy datasets in alignment with the widely recognized Harris Matrix approach. By offering clear guidelines for representing layers, relationships, and context, it ensures consistent, reproducible records of excavation data across different projects and institutions. The specification organizes data for subsequent analysis and fosters collaboration among researchers, facilitating more informed narratives of site formation processes. Researchers can leverage this structure to more easily integrate stratigraphic data, making it a valuable resource for digital archaeology.,,,,,,,,,,,https://codeberg.org/steko/harris-matrix-data-package,,,,steko,,,,,"Specifications, protocols and schemas",,Harris matrix,Schemas and ontologies,,,,,https://archive.org/details/codeberg.org-steko-harris-matrix-data-package_-_2020-03-04_22-46-43
Fix-exif-artist,"This script helps you clean up your digital photograph database by automatically updating the Exif.Image.Artist metadata tag for each file, based on user input and camera models. By doing so, you can keep track of who took each photo, especially if you have a diverse collection from multiple contributors. Whether you are a hobbyist, professional, or curator, this tool simplifies the process of attributing photographs to the correct creator, making your archive more organized and accurate.",,,,,,,,,,,https://codeberg.org/steko/fix-exif-artist,,,,steko,,,,,,Scripts,Python,Bits and bobs,,,,,,https://archive.org/details/codeberg.org-steko-fix-exif-artist_-_2020-03-25_20-46-58
tridas,"TRiDaS is a universal data exchange standard designed to help dendrochronologists store, convert, and interpret tree-ring data. The project includes a core specification plus libraries and tools for reading, writing, and converting data files used by researchers in fields such as archaeology, ecology, and climate science. By standardizing data formats, TRiDaS aims to facilitate more efficient sharing, cross-comparison, and long-term preservation of dendrochronological research datasets.",,,,,,,,,,,https://codeberg.org/steko/tridas,https://sourceforge.net/projects/tridas/,,,steko,,,,,,"Specifications, protocols and schemas",,Schemas and ontologies,Dendrochronology,archhist-software-tool,,,https://archive.org/details/codeberg.org-steko-tridas_-_2020-02-10_16-10-11
expotime,"Expotime is a Python script designed to examine how the exposure time of your photographs correlates with the time of day they were captured. By analyzing image EXIF data, it can identify patterns in lighting conditions, shutter speed adjustments, and camera settings, providing valuable insight for photographers looking to improve their technique. The tool automates data collection, aggregates the results, and presents them in an accessible, easy-to-interpret format.",,,,,,,,,,,https://codeberg.org/steko/expotime,,,,steko,,,,,,Scripts,Python,Photography,,,,,,https://archive.org/details/codeberg.org-steko-expotime_-_2020-08-08_08-20-45
