item_name,description,github,gist,gitlab,bitbucket,launchpad,twitter,youtube,blogpost,cran,pypi,codeberg,website,publication,DOI,author1_name,author2_name,author3_name,author4_name,author5_name,author6_name,category,platform,tag1,tag2,tag3,tag4,tag5,notes,internetarchive
quantAAR,"quantAAR is an R package designed for archaeologists seeking reproducible methods in quantitative data analysis. By integrating existing R-based tools and workflows, it enables the import, transformation, and visualization of archaeological data, including chronologies, spatial relationships, and morphological attributes. Its goal is to promote transparent, collaborative, and robust analyses by offering script-based definitions, integrated documentation, and flexible data exploration features, making it invaluable to a wide range of research projects in archaeology.",https://github.com/ISAAKiel/quantAAR,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,R,Statistical analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-ISAAKiel-quantAAR_-_2020-07-09_13-14-14
tabula,"Tabula is an R package designed to facilitate the exploration, seriation, and visualization of archaeological count data. By leveraging robust statistical methods, Tabula enables archaeologists and researchers to reorder datasets, identify meaningful patterns, and produce clear plots that highlight changes in artifact or feature distributions across time and space. Through its integrated seriation techniques and flexible interface, users can actively transform and interpret complex data, shaping new insights into archaeological questions and research strategies. This solution streamlines data-driven inquiries and fosters reproducible analysis in academic and field investigations.",https://github.com/tesselle/tabula,,,,,,,,https://cran.r-project.org/package=tabula,,,https://packages.tesselle.org/tabula/,https://doi.org/10.21105/joss.01821,10.5281/zenodo.1489944,tesselle,,,,,,Packages and libraries,R,Statistical analysis,Seriation,archhist-software-tool,,,,https://archive.org/details/github.com-tesselle-tabula_-_2021-01-26_20-01-25
tosca,"TOSCA (Tool for Online Seriation and Correspondence Analysis) is an R-based software solution developed by the Institute for Software Application in Archaeology at Kiel (ISAAKiel). It provides researchers with advanced data processing and visualization capabilities, focusing on seriation and correspondence analysis. By employing robust statistical methods, TOSCA facilitates the exploration of artifact or document assemblages, enabling scholars to identify underlying patterns and relationships in diverse sets of data. Through these insights, it supports historical and archaeological investigations.",https://github.com/ISAAKiel/tosca,,,,,,,,,,,,,,ISAAKiel,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,,,
CAinterprTools,"CAinterprTools is an R package that simplifies the interpretation and visualization of results from Correspondence Analysis, offering functions to format and present data effectively. Researchers can use it to produce clear segmentation, identify relationships and patterns within categorical data, and generate publication-ready graphics. Its user-friendly interface provides guidelines and workflows for novices, while advanced users can benefit from customizable options. Applicable in a variety of fields including social sciences, marketing, or any domain requiring robust data analysis, it aids in clarifying complex associations in large datasets.",https://github.com/gianmarcoalberti/CAinterprTools,,,,,,,,,,,,,,gianmarcoalberti,,,,,,Packages and libraries,R,Statistical analysis,,,,,,https://archive.org/details/github.com-gianmarcoalberti-CAinterprTools_-_2018-05-30_15-29-32
CAseriation,"CAseriation is an R package that provides methods for performing seriation on contingency tables using Correspondence Analysis. Its primary function is to reorder rows and columns of the table based on similarity patterns in distribution data. By generating matrix visualizations, researchers can examine or identify meaningful patterns or cluster artifacts or categories. This approach is particularly relevant for archaeological or historical data, as well as for a wide range of other fields that rely on frequency data. CAseriation can help facilitate advanced data analysis, discover underlying structures, and simplify interpretive tasks.",https://github.com/gianmarcoalberti/CAseriation,,,,,,,,,,,,,,gianmarcoalberti,,,,,,Packages and libraries,R,Statistical analysis,Seriation,archhist-software-tool,,,,https://archive.org/details/github.com-gianmarcoalberti-CAseriation_-_2018-06-10_15-14-41
Binomial-Co-occurrence-Assessment,"This R script provides a robust statistical framework to assess how frequently specific classes co-occur in a dataset compared to random chance, making it an essential tool for identifying meaningful patterns and correlations. By quantifying the significance of observed co-occurrences, researchers can better understand the underlying processes shaping their data. Though applicable across various domains, its focus on active data analysis in an R environment provides particular value to archaeology and historical research, enabling deeper explorations of artifact distributions, cultural patterns, or ecological data. This script fosters reproducible and transparent research workflows.",https://github.com/mpeeples2008/Binomial-Co-occurrence-Assessment,,,,,,,,,,,,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-mpeeples2008-Binomial-Co-occurrence-Assessment_-_2018-05-11_03-58-41
Kmeans,"Developed by archaeologist and data scientist Matthew Peeples, this R script enables researchers to perform K-means cluster analyses on diverse datasets, offering a range of outputs that facilitate identifying optimal cluster solutions. By automating the evaluation of different cluster numbers, it provides statistical insights that can be used in archaeological or historical studies, making it a valuable research tool for data-driven exploration.",https://github.com/mpeeples2008/Kmeans,,,,,,,,,,,http://www.mattpeeples.net/kmeans.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-mpeeples2008-Kmeans_-_2018-05-10_22-06-21
Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,"This R script calculates Brainerd-Robinson (BR) similarity coefficients for comparing samples in archaeological or other research contexts. By analyzing tabular count or percentage data, the tool quantitatively measures similarities between two sets of data. Additionally, it estimates the probability that observed differences in sample similarity are due to sampling error, allowing researchers to gauge the reliability of their comparisons. This robust approach assists in identifying meaningful patterns and refining interpretations in research settings, particularly archaeology and related fields.",https://github.com/mpeeples2008/Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,,,,,,,,,,,,http://www.mattpeeples.net/BR.html,,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,https://archive.org/details/github.com-mpeeples2008-brainerd-robinson-similarity-coefficient-and-sampling-er
Mean-Ceramic-Date-and-Error-Estimation,"Mean-Ceramic-Date-and-Error-Estimation is an R script designed to calculate mean ceramic dates (MCD) from archaeological tabular datasets. It uses a bootstrapping procedure to estimate sampling errors and gauge the reliability of the MCD, enabling researchers to more accurately date ceramic assemblages. By processing data in a reproducible manner, this tool helps in analyzing temporal trends and refining the chronological frameworks in archaeological studies, thereby advancing research in archaeology and related historical fields.",https://github.com/mpeeples2008/Mean-Ceramic-Date-and-Error-Estimation,,,,,,,,,,,http://www.mattpeeples.net/mcd.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,Ceramic analysis,archhist-software-tool,,,,https://archive.org/details/github.com-mpeeples2008-Mean-Ceramic-Date-and-Error-Estimation_-_2018-05-10_22-18-24
Bootstrap-Correspondence-Analysis,"Bootstrap-Correspondence-Analysis is an R-based script for implementing and interpreting bootstrapped correspondence analyses. With the script, researchers can examine the relationships among categories within compositional or presence-absence data. By repeatedly resampling the original dataset, the tool provides robust confidence intervals around factor loadings and category associations. This approach is especially relevant for archaeological and historical research, enabling refined comparisons of artifact assemblages or cultural traits. The script is readily adaptable for multiple data types, offering thorough documentation and reproducible workflows that enhance reliability and scientific transparency.",https://github.com/mpeeples2008/Bootstrap-Correspondence-Analysis,,,,,,,,,,,http://www.mattpeeples.net/caboot.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-mpeeples2008-Bootstrap-Correspondence-Analysis_-_2018-05-10_21-36-03
ca,"This R script employs correspondence analysis to arrange archaeological or other data sets in a meaningful sequence that reveals underlying patterns or chronological ordering. By systematically comparing frequency data among sites or assemblages, it highlights similarities and dissimilarities useful for seriation. Originally developed for archaeology, it provides a robust approach to summarizing and visualizing how artifact distributions or other variable sets change over time, aiding researchers in data interpretation and hypothesis testing.",,,,,,,,,,,,http://www.mattpeeples.net/ca.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,Seriation,archhist-software-tool,,,,
LISA,"LISA (Local Indicators of Spatial Association) is an R-based approach for analyzing the distribution of values across geographic or archaeological contexts using Moran's I and Getis-Ord G*. This script calculates local measures of spatial autocorrelation to identify hotspots, outliers, or clusters of features within a dataset. By actively detecting patterns in spatial data, researchers can better interpret site distributions, artifact concentrations, or other geospatial phenomena, thus enhancing interpretive frameworks in archaeology or historical research. The script is flexible, user-friendly, and designed to provide robust statistical metrics for advanced spatial analysis.",,,,,,,,,,,,http://www.mattpeeples.net/modules/LISA.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,,,
PLC,"Pure Locational Clustering (PLC) is a specialized R script developed by M. Peeples that implements a distance-based clustering method for analyzing archaeological site distributions. It allows researchers to identify patterns and groupings in spatial data, focusing on site location attributes to deduce settlement networks and regional interactions. This helps archaeologists interpret cultural landscapes and evolutionary processes by revealing clusters of occupation or resource exploitation across a defined geographic area.",,,,,,,,,,,,http://www.mattpeeples.net/modules/PLC.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnconstrainedClustering,"Unconstrained Clustering is an R script designed to perform non-hierarchical cluster analysis on complex datasets without predetermined group assignments. Developed by archaeologist Matthew Peeples, it facilitates the exploration of underlying patterns in artifact distributions, site data, or other quantitative archaeological information. Researchers can leverage this tool to test hypotheses, visualize relationships among variables, and identify meaningful groupings that might be missed by more rigid, hypothesis-driven methods. This script is especially useful for investigating cultural, environmental, or historical processes across diverse datasets.",,,,,,,,,,,,http://www.mattpeeples.net/modules/UnconstrainedClustering.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,,,
