zotero_key,item_type,title,creators,date,publication_title,publisher,doi,url,abstract,all_tags,all_collections,validity_status,is_valid
79F74IG8,conferencePaper,On the sustainability of academic software: the case of static analysis tools,"Costa, Joenio; Meirelles, Paulo; Chavez, C.",2018,,,10.1145/3266237.3266243,,,source: elicit; valid,Elicit,valid,True
AMPWL5WY,journalArticle,Open-source Software Sustainability Models: Initial White Paper From the Informatics Technology for Cancer Research Sustainability and Industry Partnership Working Group,"Ye, Ye; Seemran, Barapatre; Michael K, Davis; Keith O, Elliston; Christos, Davatzikos; Andrey, Fedorov; Jean-Christophe, Fillion-Robin; Ian, Foster; John R, Gilbertson; Andras, Lasso; James V, Miller; Martin, Morgan; Steve, Pieper; Brigitte E, Raumann; Brion D, Sarachan; Guergana, Savova; Jonathan C, Silverstein; Donald P, Taylor; Joyce B, Zelnis; Guo-Qiang, Zhang; Jamie, Cuticchia; Michael J, Becich",2021-12-02,Journal of Medical Internet Research,,10.2196/20028,http://dx.doi.org/10.2196/20028,,source: elicit; valid,Elicit,valid,True
32YUA6S4,conferencePaper,What Makes Research Software Sustainable? An Interview Study with Research Software Engineers,"Mario, Rosado de Souza; Robert, Haines; Markel, Vigo; Caroline, Jay",2019-05,,IEEE,10.1109/chase.2019.00039,http://dx.doi.org/10.1109/CHASE.2019.00039,,source: elicit; valid,Elicit,valid,True
AW74FCNS,journalArticle,Finite and infinite games: An ethnography of institutional logics in research software sustainability,"Nicholas, Weber",2020-10,Proceedings of the Association for Information Science and Technology,,10.1002/pra2.281,https://doi.org/10.1002/pra2.281,,source: elicit; valid,Elicit,valid,True
4G4JEQL5,journalArticle,Great lengths: a review of website preservation activities at three American Universities with digital humanities centers,"Drew, VandeCreek",2023-11-11,Digital Scholarship in the Humanities,,10.1093/llc/fqad080,http://dx.doi.org/10.1093/llc/fqad080,,source: elicit; valid,Elicit,valid,True
QSNLCIHR,conferencePaper,How Should We Measure the Relationship Between Code Quality and Software Sustainability ?,"Aldabjan, Aseel; Haines, R.",2016,,,,https://www.researchgate.net/profile/Caroline-Jay/publication/308379669_How_Should_We_Measure_the_Relationship_Between_Code_Quality_and_Software_Sustainability/links/57e2713808aed96fbbb24e24/How-Should-We-Measure-the-Relationship-Between-Code-Quality-and-Software-Sustainability.pdf,,citation-problem; source: elicit; valid,Elicit,valid,True
YMILJYJ5,journalArticle,A survey of the state of the practice for research software in the United States,"Jeffrey C., Carver; Nic, Weber; Karthik, Ram; Sandra, Gesing; Daniel S., Katz",2022-05-05,PeerJ Computer Science,,10.7717/peerj-cs.963,http://dx.doi.org/10.7717/peerj-cs.963,,source: elicit; valid,Elicit,valid,True
D5VDYFC2,journalArticle,Toward Long-Term and Archivable Reproducibility,"Mohammad, Akhlaghi; Raul, Infante-Sainz; Boudewijn F., Roukema; Mohammadreza, Khellat; David, Valls-Gabaud; Roberto, Baena-Galle",2021-05-01,Computing in Science and Engineering,,10.1109/mcse.2021.3072860,http://dx.doi.org/10.1109/MCSE.2021.3072860,,source: elicit; valid,Elicit,valid,True
S4IVEAKX,preprint,Software Sustainability: A Systematic Literature Review and Comprehensive Analysis,"Asif, Imran; Tevfik, Kosar",2019,,,,https://arxiv.org/abs/1910.06109,,best practices; literature survey; literature synthesis; reference model; software engineering; software sustainability; source: ChatGPT-DR; source: elicit; sustainability factors; systematic review; valid,Elicit,valid,True
AV7LR33P,journalArticle,Software sustainability of global impact models,"Emmanuel, Nyenah; Petra, D\"" oll; Daniel S., Katz; Robert, Reinecke",2024-12-05,Geoscientific Model Development,,10.5194/gmd-17-8593-2024,http://dx.doi.org/10.5194/gmd-17-8593-2024,,citation-problem; code quality; source: elicit; source: perplexity; sustainability metrics; valid,Elicit,valid,True
