zotero_key,item_type,title,creators,date,publication_title,publisher,doi,url,abstract,all_tags,all_collections,validity_status,is_valid
FYS3RAP5,journalArticle,The Best Laid Plans: Case Studies of the Loss of Four Early (1996-2003) Digital Humanities Websites,"Drew E., Vandecreek",2024,DIGITAL HUMANITIES QUARTERLY,,,,"This study examines factors contributing to the loss of four grant funded, free use digital humanities websites funded by the National Endowment for the Humanities' Education Development and Demonstartion Program, 1996-2003: Decision Point! at Auburn University, Hawthorne in Salem at North Shore Community College (Danvers, MA), the New Deal Network at the Franklin and Eleanor Roosevelt Institute (Hyde Park, NY), and River Web at the University of Illinois at Urbana-Champaign. The evidence shows that website loss did not occur suuddenly. In all four cases, organizations that accepted program funds to create online materials ultimately failed to develop or continue procedures to manage them effectively. As the organizations or organizational divisions that developed these websites struggled to sustain them or indicated an unwillingness to do so any longer, their creator(s) asked a college, university, or research library to take responsibility for them, without success. Online materials became subject to increased risk of loss in both contexts in part due to rapid technological change,often expressed in accelerating software product update cycles, combined with a general lack of funding and personnel available for addressing it after the end of grant period. Several other elements also played parts in website loss however, often shaping the ways in which technological developments and financial circumstances did their damage. In three instances website creators discovered that common vicissitudes of organizational life, including revised objectives, changing tactics used to achieve them, and new administrative personnel compromised website sustainability. In two cases adminstrators' responsibility for risk management led them to remove legacy websites made obsolete by new technology. In one case research pursung technological innovation in the retrieval and management of large data sets contributed to the loss of a funded resource. Finally, simple, inexplicable failure also contributed to that website's demise. These four cases can provide a digital humanities community increasingly concerned about the sustainability of grant funded online materials with additional evidence of how technological change and financial shortfalls threaten these resources. In doing so, it can also show how more complex organizational dynamics often contribute to website loss.",source: manual; ⛔ No DOI found,Manual,valid,True
PRPHYXB2,journalArticle,A National Agenda for Research Software,"Australian Research Data, Commons",2022-03-28,,,,https://zenodo.org/records/6378082,"This agenda seeks recognition of research software as a first class output of research in Australia. To realise this vision, three goals are proposed to see, shape and sustain research software. To reach these goals action is required for a broad range of stakeholders. Actions are suggested against users and authors of software, supporters of this effort, infrastructure providers and policy makers.


The final version of the agenda incorporates feedback gathered from the community in response to the release of a draft. Both versions are included in this record.",analysis code; code availability; research methods; research software; research software engineers; software sustainability; source: manual; ⛔ No DOI found,Manual,valid,True
H6I9YFNU,report,Research Software Current State Assessment,"Qian, Zhang; Susan, Brown; James, Colliander; Brian, Corrie; Gabor, Fichtinger; Mark, Leggott; Catherine, Lovekin; Felipe, Pérez-Jvostov; Ghilaine, Roquet; Marc-Étienne, Rousseau",,,,,,,source: manual,Manual,valid,True
BDLP93KB,journalArticle,Open-source Software Sustainability Models: Initial White Paper From the Informatics Technology for Cancer Research Sustainability and Industry Partnership Working Group,"Ye, Ye; Seemran, Barapatre; Michael K, Davis; Keith O, Elliston; Christos, Davatzikos; Andrey, Fedorov; Jean-Christophe, Fillion-Robin; Ian, Foster; John R, Gilbertson; Andras, Lasso; James V, Miller; Martin, Morgan; Steve, Pieper; Brigitte E, Raumann; Brion D, Sarachan; Guergana, Savova; Jonathan C, Silverstein; Donald P, Taylor; Joyce B, Zelnis; Guo-Qiang, Zhang; Jamie, Cuticchia; Michael J, Becich",2021-12-2,Journal of Medical Internet Research,,10.2196/20028,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8686402/,"Background
The National Cancer Institute Informatics Technology for Cancer Research (ITCR) program provides a series of funding mechanisms to create an ecosystem of open-source software (OSS) that serves the needs of cancer research. As the ITCR ecosystem substantially grows, it faces the challenge of the long-term sustainability of the software being developed by ITCR grantees. To address this challenge, the ITCR sustainability and industry partnership working group (SIP-WG) was convened in 2019.

Objective
The charter of the SIP-WG is to investigate options to enhance the long-term sustainability of the OSS being developed by ITCR, in part by developing a collection of business model archetypes that can serve as sustainability plans for ITCR OSS development initiatives. The working group assembled models from the ITCR program, from other studies, and from the engagement of its extensive network of relationships with other organizations (eg, Chan Zuckerberg Initiative, Open Source Initiative, and Software Sustainability Institute) in support of this objective.

Methods
This paper reviews the existing sustainability models and describes 10 OSS use cases disseminated by the SIP-WG and others, including 3D Slicer, Bioconductor, Cytoscape, Globus, i2b2 (Informatics for Integrating Biology and the Bedside) and tranSMART, Insight Toolkit, Linux, Observational Health Data Sciences and Informatics tools, R, and REDCap (Research Electronic Data Capture), in 10 sustainability aspects: governance, documentation, code quality, support, ecosystem collaboration, security, legal, finance, marketing, and dependency hygiene.

Results
Information available to the public reveals that all 10 OSS have effective governance, comprehensive documentation, high code quality, reliable dependency hygiene, strong user and developer support, and active marketing. These OSS include a variety of licensing models (eg, general public license version 2, general public license version 3, Berkeley Software Distribution, and Apache 3) and financial models (eg, federal research funding, industry and membership support, and commercial support). However, detailed information on ecosystem collaboration and security is not publicly provided by most OSS.

Conclusions
We recommend 6 essential attributes for research software: alignment with unmet scientific needs, a dedicated development team, a vibrant user community, a feasible licensing model, a sustainable financial model, and effective product management. We also stress important actions to be considered in future ITCR activities that involve the discussion of the sustainability and licensing models for ITCR OSS, the establishment of a central library, the allocation of consulting resources to code quality control, ecosystem collaboration, security, and dependency hygiene.",source: manual,Manual,valid,True
WIM3SEYR,journalArticle,Epistemic issues in computational reproducibility: software as the elephant in the room,"Alexandre, Hocquet; Frédéric, Wieber",2021,European Journal for Philosophy of Science,,10.1007/s13194-021-00362-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104544147&doi=10.1007%2fs13194-021-00362-9&partnerID=40&md5=2b290e2038ec0bdae84229743174882f,"Computational reproducibility (i.e. issues of reproducibility stemming from the computer as a scientific tool) possesses its own dynamics and narratives of crisis. Alongside the difficulties of computing as an ubiquitous yet complex scientific activity, computational reproducibility suffers from a naive expectancy of total reproducibility and a moral imperative to embrace the principles of free software as a non-negotiable epistemic virtue. We argue that the epistemic issues at stake in actual practices of computational reproducibility are best unveiled by focusing on software as a pivotal concept, one that is surprisingly often overlooked in accounts of reproducibility issues. Software is not only about designing and coding but also about maintaining, supporting, distributing, licensing, and governance; it is not only about developers but also about users. We focus on openness debates among computational chemists involved in molecular modeling software packages as empirical grounding for our argument. We then identify and analyse four epistemic characteristics (transparency, consistency, sustainability and inclusivity) as key to the role of software in computational reproducibility. © 2021, Springer Nature B.V.",source: manual,Manual,valid,True
PRARMVUC,journalArticle,"Open scholarship in Australia: A review of needs, barriers, and opportunities","Paul Longley, Arthur; Lydia, Hearn; Lucy, Montgomery; Paul Longley, Arthur; Lydia, Hearn; Lucy, Montgomery; Hugh, Craig; Alyssa, Arbuckle; Ray, Siemens",2021-10-30,Digital scholarship in the humanities.,,,,,source: manual,Manual,valid,True
9J8CDIBX,conferencePaper,Sustainability in software engineering: A systematic literature review,"Birgit, Penzenstadler; Veronika, Bauer; Coral, Calero; Xavier, Franch",2012-05,,,10.1049/ic.2012.0004,,"Background: Supporting sustainability in software engineering is becoming an active area of research. We want to contribute the first Systematic Literature Review(SLR) in this field to aid researchers who are motivated to contribute to that topic by providing a body of knowledge as starting point, because we know from own experience, this search can be tedious and time consuming. Aim: We aim to provide an overview of different aspects of sustainability in software engineering research with regard to research activity, investigated topics, identified limitations, proposed approaches, used methods, available studies, and considered domains. Method: The applied method is a SLR in five reliable and commonly-used databases according to the (quasi-standard) protocol by Kitchenham et al. [1]. We assessed the 100 first results of each database ordered by relevance with respect to the search query. Results: Of 500 classified publications, we regard 96 as relevant for our research questions. We sketch a taxonomy of their topics and domains, and provide lists of used methods and proposed approaches. Most of the excluded publications were ruled out because of an unfitting usage of terms within the search query. Conclusions: Currently, there is little research coverage on the different aspects of sustainability in software engineering while other disciplines are already more active. Future work includes extending the study by reviewing a higher number of publications, including dedicated journal and workshop searches, and snowballing.",source: manual,Manual,valid,True
FHPUM36I,document,Software Sustainability: Research UK,,,,,,https://www.software.ac.uk/resources/guides/software-sustainability-research-uk-perspective,,source: manual,Manual,valid,True
X3ILXJAL,document,Software Sustainability: Research and Practice from a UK perspective,Software Sustainability Institute,2014,,,,https://www.software.ac.uk,"This work explores sustainable software development practices from a UK perspective, focusing on community engagement, maintainability, and the establishment of sustainability metrics. It discusses the challenges involved in ensuring long-term viability for research software.",UK; maintainability; research software; software sustainability; source: manual; sustainable practices,Manual,valid,True
252TQBBM,journalArticle,Puzzling out Software Sustainability,"Coral, Calero; Mario, Piattini",2017-12-01,Sustainable Computing: Informatics and Systems,,10.1016/j.suscom.2017.10.011,https://www.sciencedirect.com/science/article/pii/S2210537916301676,"Software Sustainability is gaining importance and, as occurs with any other new discipline, there are still many misconceptions and misunderstandings surrounding it. In this paper we attempt to clarify the different aspects of software sustainability, from organizational sustainability to software sustainability, exploring the latter in great depth by considering its three dimensions. We also present an overview of the research that has been developed around software sustainability, which was obtained after reviewing the best known workshops and conferences on green and sustainable software and some journals. The results obtained principally address the environmental dimension, and specifically green software design, quality and requirements.",Green in software engineering; SWEBOK; Software greenability; Software sustainability; source: manual,Manual,valid,True
