zotero_key,item_type,title,creators,date,publication_title,publisher,doi,url,abstract,all_tags,all_collections,validity_status,is_valid
ED6SG8PK,journalArticle,From Tamagotchis to Pet Rocks: On Learning to Love Simplicity through the Endings Principles,"Martin, Holmes; Joey, Takeda",2023-05-26,Digital Humanities Quarterly,,,,,source: perplexity; valid; ⛔ No DOI found,Perplexity,valid,True
N7EJT3S8,document,08_Goddard_lightning_AtRN2_EN,,2018-12-11,,,,https://www.carl-abrc.ca/wp-content/uploads/2018/12/Goddard_lightning_AtRN2_EN.pdf,,source: perplexity; valid,Perplexity,valid,True
TSNJHLMB,webpage,Research Software Lifecycle,,,,,,https://eosc.eu/task-force-deliverab/research-software-lifecycle/,Software developed in the process of doing research is receiving increased attention. It is now more  and  more  often  considered ... Read more,source: perplexity; valid,Perplexity,valid,True
RQW5UYLM,presentation,The Final Death(s) of Digital Scholarship—An Ongoing Case Study of DH2005 Projects,"Robin Camille, Davis",2025-4-22,,,,https://robincamille.com/presentations/death_of_digital_scholarship/,Librarian,important; source: perplexity; valid,Perplexity,valid,True
4TKUPNBL,blogPost,Digital Longevity in the Digital Humanities | SFU Library,,2021-06-30,,,,https://www.lib.sfu.ca/help/publish/dh/dhil/dhil-blog/endings-project,,source: perplexity; valid,Perplexity,valid,True
S986QMKE,webpage,The Endings Project: Principles for Digital Longevity,"Stewart, Arneil; John D., Simpson; the Endings Project, team",2018,,,,https://endings.uvic.ca/,"Presents a set of principles to guide the development and closure of digital humanities projects to ensure long-term sustainability. Recommends using open, non-proprietary data formats, version control for code and data, comprehensive documentation, and creation of static outputs for preservation. Derived from experiences with multiple Canadian humanities projects. Provides a framework adopted by UVic projects and beyond.",Best practices; Digital longevity; End-of-life planning; Guidelines; Open formats; UVic Endings Project; citation-problem; digital longevity; digital preservation; documentation; guidelines; source: ChatGPT-DR; source: perplexity; sustainability; valid,Perplexity,valid,True
3TKK8JR5,journalArticle,Software evolution: the lifetime of fine-grained elements,"Diomidis, Spinellis; Panos, Louridas; Maria, Kechagia",2021-2-9,PeerJ Computer Science,,10.7717/peerj-cs.372,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7959608/,"A model regarding the lifetime of individual source code lines or tokens can estimate maintenance effort, guide preventive maintenance, and, more broadly, identify factors that can improve the efficiency of software development. We present methods and tools that allow tracking of each line’s or token’s birth and death. Through them, we analyze 3.3 billion source code element lifetime events in 89 revision control repositories. Statistical analysis shows that code lines are durable, with a median lifespan of about 2.4 years, and that young lines are more likely to be modified or deleted, following a Weibull distribution with the associated hazard rate decreasing over time. This behavior appears to be independent from specific characteristics of lines or tokens, as we could not determine factors that influence significantly their longevity across projects. The programing language, and developer tenure and experience were not found to be significantly correlated with line or token longevity, while project size and project age showed only a slight correlation.",source: perplexity; valid,Perplexity,valid,True
THG7WG44,webpage,Level Up - Discovery and Access - Digital Preservation Coalition,,,,,,https://www.dpconline.org/digipres/implement-digipres/dpc-ram/level-up/discovery-access,,source: perplexity; valid,Perplexity,valid,True
WNW4A2GU,journalArticle,Fading Away... The challenge of sustainability in digital studies,"Christine, Barats; Valérie, Schafer; Andreas, Fickers",2020,Digital Humanities Quarterly,,,http://digitalhumanities.org/dhq/vol/14/3/000484/000484.html,"Emphasizes the need to consider sustainability as key in digital humanities research. Discusses tensions between long-term data preservation and short software lifecycles, noting technical and institutional challenges. Argues that sustainability in HSS requires addressing social practices and epistemic traditions alongside technology.",Data lifecycle; Digital Humanities; Institutional challenges; Preservation; Sustainability; citation-problem; data preservation; digital humanities; digital studies; keystone; research infrastructure; source: ChatGPT-DR; source: perplexity; sustainability; valid,Perplexity,valid,True
AV7LR33P,journalArticle,Software sustainability of global impact models,"Emmanuel, Nyenah; Petra, D\"" oll; Daniel S., Katz; Robert, Reinecke",2024-12-05,Geoscientific Model Development,,10.5194/gmd-17-8593-2024,http://dx.doi.org/10.5194/gmd-17-8593-2024,,citation-problem; code quality; source: elicit; source: perplexity; sustainability metrics; valid,Perplexity,valid,True
JLPUB8A6,journalArticle,Impact of Historical Software Metric Changes in Predicting Future Maintainability Trends in Open-Source Software Development,"Mitja, Gradišnik; Tina, Beranič; Sašo, Karakatič",2020/1,Applied Sciences,,10.3390/app10134624,https://www.mdpi.com/2076-3417/10/13/4624,"Software maintenance is one of the key stages in the software lifecycle and it includes a variety of activities that consume the significant portion of the costs of a software project. Previous research suggest that future software maintainability can be predicted, based on various source code aspects, but most of the research focuses on the prediction based on the present state of the code and ignores its history. While taking the history into account in software maintainability prediction seems intuitive, the research empirically testing this has not been done, and is the main goal of this paper. This paper empirically evaluates the contribution of historical measurements of the Chidamber & Kemerer (C&K) software metrics to software maintainability prediction models. The main contribution of the paper is the building of the prediction models with classification and regression trees and random forest learners in iterations by adding historical measurement data extracted from previous releases gradually. The maintainability prediction models were built based on software metric measurements obtained from real-world open-source software projects. The analysis of the results show that an additional amount of historical metric measurements contributes to the maintainability prediction. Additionally, the study evaluates the contribution of individual C&K software metrics on the performance of maintainability prediction models.",history of software releases; machine learning; maintainability index; maintainability prediction; software maintainability; software metrics; source: perplexity; valid,Perplexity,valid,True
YK9HPKKB,blogPost,There’s no such thing as sustainable research software,"Daniel S., Katz",2024-05-13,,,,https://danielskatzblog.wordpress.com/2024/05/13/no-sustainable-research-software,"(with contributions from Michelle Barker, Neil Chue Hong, Matthew Turk, Jeffrey Carver, Hannah Cohoon, and James Howison;",source: perplexity; valid,Perplexity,valid,True
R4PN9Q5E,journalArticle,Facing the challenge of digital sustainability as humanities researchers,"Joanna, Tucker",2022,Journal of the British Academy,,10.5871/jba/010.093,https://www.thebritishacademy.ac.uk/publishing/journal-british-academy/10/facing-the-challenge-of-digital-sustainability-as-humanities-researchers/,"Humanities researchers are increasingly united in their concerns about the long-term sustainability of digital resources. Much of our work is now reliant upon the use of resources such as databases, online research tools and digital editions. Libraries and archives are undertaking programmes of �mass digitisation�, making our primary sources available to view as digital images on the web. This article presents a view of the current landscape as well as thoughts for the future of digital research for scholars in the humanities. It considers four aspects of sustainability (technological, financial, environmental and �human�), and offers a new working definition for digital sustainability in this context. This centres on sustainability not just as a technical concern but as a multifaceted activity within which humanities researchers can play a crucial role.",digital research; digital sustainability; humanities; keystone; preservation; source: ChatGPT-DR; source: perplexity; sustainability challenges; valid,Perplexity,valid,True
95ZGKMVD,blogPost,Commercial off the shelf software shortens complex software lifetime,JohnF,2013-08-10T08:06:00+00:00,,,,https://mitosystems.com/software-evolution/,"Commercial off the shelf (COTS) software promises to reduce development effort, but often each one you integrate, can shorten the life of your solution",source: perplexity; valid,Perplexity,valid,True
IUSJJNTT,blogPost,Embracing Endings: Principles for Digital Longevity and Their Importance for Research Software Engineers,,2025-5-9,,,,https://dh-tech.github.io/blog/2023/08/07/endings-principles/,"In the digital realm, ensuring the longevity of projects is crucial. The University of Victoria’s “Endings Project” presents guidelines for …",citation-problem; keystone; source: perplexity; valid,Perplexity,valid,True
NDV6SZWB,bookSection,Preserving Digital Humanities Projects Using Principles of Digital Longevity,"Isabel Galina, Russell; Glen, Layne-Worthey; J., Matthew Huculak; Corey, Davis",2024-11-20,,Routledge,,https://www.taylorfrancis.com/books/9781003327738/chapters/10.4324/9781003327738-22,,source: perplexity; valid,Perplexity,valid,True
CPW2MPEF,journalArticle,The Life Span of Large Historical Databases,"Jan, Kok",2021-03-31,Historical Life Course Studies,,10.51964/hlcs9561,https://hlcs.nl/article/view/9561,"Large historical databases, although intended to last for a long time, can become obsolete for a variety of reasons. In this essay these reasons are explored and used for a 'health check' of the Historical Sample of the Netherlands (HSN). The HSN leaders are examined for their visionary qualities and their sense of ownership, and the database for its complementarity, versatility and consistency. The essay concludes that, despite challenges ahead, HSN is sound of mind and body.",source: perplexity; valid,Perplexity,valid,True
2Z322MB7,journalArticle,"An environment for sustainable research software in Germany and beyond: current state, open challenges, and call for action","Hartwig, Anzt; Felix, Bach; Stephan, Druskat; Frank, Löffler; Axel, Loewe; Bernhard Y., Renard; Gunnar, Seemann; Alexander, Struck; Elke, Achhammer; Piush, Aggarwal; Franziska, Appel; Michael, Bader; Lutz, Brusch; Christian, Busse; Gerasimos, Chourdakis; Piotr Wojciech, Dabrowski; Peter, Ebert; Bernd, Flemisch; Sven, Friedl; Bernadette, Fritzsch; Maximilian D., Funk; Volker, Gast; Florian, Goth; Jean-Noël, Grad; Jan, Hegewald; Sibylle, Hermann; Florian, Hohmann; Stephan, Janosch; Dominik, Kutra; Jan, Linxweiler; Thilo, Muth; Wolfgang, Peters-Kottig; Fabian, Rack; Fabian H.C., Raters; Stephan, Rave; Guido, Reina; Malte, Reißig; Timo, Ropinski; Joerg, Schaarschmidt; Heidi, Seibold; Jan P., Thiele; Benjamin, Uekermann; Stefan, Unger; Rudolf, Weeber",2021-1-26,F1000Research,,10.12688/f1000research.23224.2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7845155/,"Research software has become a central asset in academic research. It optimizes existing and enables new research methods, implements and embeds research knowledge, and constitutes an essential research product in itself. Research software must be sustainable in order to understand, replicate, reproduce, and build upon existing research or conduct new research effectively. In other words, software must be available, discoverable, usable, and adaptable to new needs, both now and in the future. Research software therefore requires an environment that supports sustainability.,  Hence, a change is needed in the way research software development and maintenance are currently motivated, incentivized, funded, structurally and infrastructurally supported, and legally treated. Failing to do so will threaten the quality and validity of research. In this paper, we identify challenges for research software sustainability in Germany and beyond, in terms of motivation, selection, research software engineering personnel, funding, infrastructure, and legal aspects. Besides researchers, we specifically address political and academic decision-makers to increase awareness of the importance and needs of sustainable research software practices. In particular, we recommend strategies and measures to create an environment for sustainable research software, with the ultimate goal to ensure that software-driven research is valid, reproducible and sustainable, and that software is recognized as a first class citizen in research. This paper is the outcome of two workshops run in Germany in 2019, at deRSE19 - the first International Conference of Research Software Engineers in Germany - and a dedicated DFG-supported follow-up workshop in Berlin.",source: ChatGPT-DR; source: perplexity; valid,Perplexity,valid,True
BPLA68JR,conferencePaper,Sustainability Strategies for Digital Humanities Systems,"Brigitte, Mathiak; Philip, Schildkamp",2019,,,,https://dh2020.adho.org/wp-content/uploads/2020/07/565_SustainabilityStrategiesforDigitalHumanitiesSystems.html,"Now that the Digital Humanities (DH) are becoming a well-established research field, producing seminal publications in print as well as digital formats, the time for consolidation has come. It is noteworthy that digital tools and methods from the pioneering days of the DH are degrading and some have already vanished. Therefore, it is urgent to take action and to prevent further losses. While the necessity of high quality research data manage

Now that the Digital Humanities (DH) are becoming a well-established research field, producing seminal publications in print as well as digital formats, the time for consolidation has come. It is noteworthy that digital tools and methods from the pioneering days of the DH are degrading and some have already vanished. Therefore, it is urgent to take action and to prevent further losses. While the necessity of high quality research data management (RDM) is encouraged or even required by funding agencies and there is an increasing awareness for long-term archiving (LTA), when it comes to primary research data, the fact that the DH exhibit a structural deficit regarding maintaining and preserving research software is at the least underestimated.

In this panel, we will focus on infrastructure and institutional support. Beginning with an overview of existing strategies from the DH and beyond, we highlight selected strategies to compare how they are implemented at different institutions in terms of infrastructure, expert knowledge and also funding. We also want to evaluate the extent of institutional support that is needed to successfully sustain and archive DH projects and the software they use. We will discuss currently implemented solutions to maintain and preserve research projects and software, all of which approach the outlined problem from a different angle.",analysis; digital humanities; digital scholarly editions; lifespan; preservation; source: ChatGPT-DR; source: perplexity; valid,Perplexity,valid,True
FK3HJTP2,journalArticle,What’s Left When It’s Over: Libraries and Digital Humanities Project Preservation,"Lisa, Goddard",2023-07-18,IDEAH,,10.21428/f1f23564.00188fc5,https://ideah.pubpub.org/pub/mfid9ero,,source: perplexity; valid,Perplexity,valid,True
