zotero_key,item_type,title,creators,date,publication_title,publisher,doi,url,abstract,all_tags,all_collections,validity_status,is_valid
7482HZG9,presentation,An Application Footprint Reference Set: Tracking the Lifetime of Software,"Mary, Laamanen; John, Tebbutt",,,,,,,Not-relevant; source: perplexity,Not-relevant,not-relevant,False
LC643YDB,report,Open Science for Global Benefit: G7 Science Ministers’ Communiqué (Sendai 2023),"G7, Science; Technology, Ministers",2023,,,,https://www8.cao.go.jp/cstp/kokusaiteki/g7_2023/230513_g7_communique.pdf,"The 2023 G7 S&T Ministers underscore open science as critical for tackling global challenges. They endorse FAIR data and software, call for improved infrastructure interoperability, and support recognition of diverse outputs in research evaluation. While software is not named explicitly, it is included in references to 'FAIR digital objects' and open research outputs.",FAIR principles; G7; Not-relevant; global collaboration; open science; policy communiqué; source: ChatGPT-DR,Not-relevant,not-relevant,False
IPKSD5VX,webpage,Software Infrastructure for Sustained Innovation (SI2) Program Solicitations and Overview,National Science Foundation,2011,,,,https://www.nsf.gov/pubs/2011/nsf11589/nsf11589.htm,"These solicitations established a funding pathway for research software at various scales (e.g., Conceptualization Awards, Implementation Awards, Scientific Software Integration). The SI2 program formalized NSF's commitment to sustaining software as part of the broader cyberinfrastructure, emphasizing ongoing maintenance, community building, and robust engineering practices.",NSF; Not-relevant; SI2; funding pathways; software infrastructure; source: ChatGPT-DR; sustainability,Not-relevant,not-relevant,False
CTUJGSKM,webpage,ARDC Research Software Program and Sustaining Research Software Project,"Australian Research Data, Commons (ARDC)",2020,,,,https://ardc.edu.au/our-work/research-software-program/,"ARDC's program supports national efforts to recognize and sustain research software in Australia. It funds select at-risk software tools and develops guidelines for software publishing and maintenance, emphasizing open-source principles, containerization, and stable governance models. Part of Australia’s broader eResearch strategy and alignment with FAIR, open science.",ARDC; Australia; Not-relevant; eResearch; open-source; research software; source: ChatGPT-DR; sustainability program,Not-relevant,not-relevant,False
3KYT9BWV,report,COVID-19 Open Science Guidelines (Software Section),"Research Data, Alliance (RDA)",2020,,,,https://doi.org/10.15497/rda00052,"During the COVID-19 pandemic, the RDA issued rapid guidelines for sharing data and software openly to accelerate research. The software section emphasizes open licensing, clear documentation, containerization, and use of established repositories for code. These measures aim to improve reproducibility, collaboration, and trust in emergent scientific outputs during crisis response.",COVID-19; Not-relevant; RDA; open science; reproducibility; software guidelines; source: ChatGPT-DR,Not-relevant,not-relevant,False
BIKG77G9,webpage,Research Guides: Research Impact Metrics: Bibliometrics / Citations,"Rachel, Miles",,,,,https://guides.lib.vt.edu/c.php?g=946995&p=6827612,"A guide for those wanting to use research impact metrics for evaluation, analytics, and reviews, e.g., promotion & tenure.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
ZEBSEGWP,journalArticle,"Visibility, impact, and applications of bibliometric software tools through citation analysis","Robert, Tomaszewski",2023,Scientometrics,,10.1007/s11192-023-04725-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10234239/,"This study examines the visibility, impact, and applications of bibliometric software tools in the peer-reviewed literature through a “Cited Reference Search” using the Web of Science (WOS) database. A total of 2882 citing research articles to eight bibliometric software tools were extracted from the WOS Core Collection between 2010 and 2021. These citing articles are analyzed by publication year, country, publication title, publisher, open access level, funding agency, and WOS category. Mentions of bibliometric software tools in Author Keywords and KeyWords Plus are also compared. The VOSviewer software is utilized to identify specific research areas by discipline from the keyword co-occurrences of the citing articles. The findings reveal that while bibliometric software tools are making a noteworthy impact and contribution to research, their visibility through referencing, Author Keywords, and KeyWords Plus is limited. This study serves as a clarion call to raise awareness and initiate discussions on the citing practices of software tools in scholarly publications.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
HEL7XPFP,journalArticle,Bibliometrics: tracking research impact by selecting the appropriate metrics,"Ashok, Agarwal; Damayanthi, Durairajanayagam; Sindhuja, Tatagari; Sandro C, Esteves; Avi, Harlev; Ralf, Henkel; Shubhadeep, Roychoudhury; Sheryl, Homa; Nicolás Garrido, Puchalt; Ranjith, Ramasamy; Ahmad, Majzoub; Kim Dao, Ly; Eva, Tvrda; Mourad, Assidi; Kavindra, Kesari; Reecha, Sharma; Saleem, Banihani; Edmund, Ko; Muhammad, Abu-Elmagd; Jaime, Gosalvez; Asher, Bashiri",2016,Asian Journal of Andrology,,10.4103/1008-682X.171582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4770502/,"Traditionally, the success of a researcher is assessed by the number of publications he or she publishes in peer-reviewed, indexed, high impact journals. This essential yardstick, often referred to as the impact of a specific researcher, is assessed through the use of various metrics. While researchers may be acquainted with such matrices, many do not know how to use them to enhance their careers. In addition to these metrics, a number of other factors should be taken into consideration to objectively evaluate a scientist's profile as a researcher and academician. Moreover, each metric has its own limitations that need to be considered when selecting an appropriate metric for evaluation. This paper provides a broad overview of the wide array of metrics currently in use in academia and research. Popular metrics are discussed and defined, including traditional metrics and article-level metrics, some of which are applied to researchers for a greater understanding of a particular concept, including varicocele that is the thematic area of this Special Issue of Asian Journal of Andrology. We recommend the combined use of quantitative and qualitative evaluation using judiciously selected metrics for a more objective assessment of scholarly output and research impact.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
FW63T4MX,blogPost,Life cycle assessment with SimaPro,,,,,,https://simapro.com/life-cycle-assessment/,"Stay up to date with the latest LCIA methods and databases through SimaPro, and deliver high-quality sustainability results.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
MI89CND9,journalArticle,Evaluation in Life Cycle of Information Technology (ELICIT) Framework: Supporting the Innovation Life Cycle from Business Case Assessment to Summative Evaluation,"Polina V., Kukhareva; Charlene, Weir; Guilherme Del, Fiol; Gregory A., Aarons; Teresa Y., Taft; Chelsey R., Schlechter; Thomas J., Reese; Rebecca L., Curran; Claude, Nanjo; Damian, Borbolla; Catherine J, Staes; Keaton L., Morgan; Heidi S., Kramer; Carole H., Stipelman; Julie H., Shakib; Michael C., Flynn; Kensaku, Kawamoto",2022-3,Journal of biomedical informatics,,10.1016/j.jbi.2022.104014,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8959015/,"Objective:
Our objective was to develop an evaluation framework for electronic health record (EHR)-integrated innovations to support evaluation activities at each of four information technology (IT) life cycle phases: planning, development, implementation, and operation.

Methods:
The evaluation framework was developed based on a review of existing evaluation frameworks from health informatics and other domains (human factors engineering, software engineering, and social sciences); expert consensus; and real-world testing in multiple EHR-integrated innovation studies.

Results:
The resulting Evaluation in Life Cycle of IT (ELICIT) framework covers four IT life cycle phases and three measure levels (society, user, and IT). The ELICIT framework recommends 12 evaluation steps: 1) business case assessment; 2) stakeholder requirements gathering; 3) technical requirements gathering; 4) technical acceptability assessment; 5) user acceptability assessment; 6) social acceptability assessment; 7) social implementation assessment; 8) initial user satisfaction assessment; 9) technical implementation assessment; 10) technical portability assessment; 11) long-term user satisfaction assessment; and 12) social outcomes assessment.

Discussion:
Effective evaluation requires a shared understanding and collaboration across disciplines throughout the entire IT life cycle. In contrast with previous evaluation frameworks, the ELICIT framework focuses on all phases of the IT life cycle across the society, user, and IT levels. Institutions seeking to establish evaluation programs for EHR-integrated innovations could use our framework to create such shared understanding and justify the need to invest in evaluation.

Conclusion:
As health care undergoes a digital transformation, it will be critical for EHR-integrated innovations to be systematically evaluated. The ELICIT framework can facilitate these evaluations.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
