zotero_key,item_type,title,creators,date,publication_title,publisher,doi,url,abstract,all_tags,all_collections,validity_status,is_valid
KCUBJGW8,report,Paris Call: Software Source Code as Heritage for Sustainable Development,"Scientific, United Nations Educational; Cultural, Organization (UNESCO); Institut National de Recherche en Informatique et en, Automatique (Inria)",2019,,,,https://en.unesco.org/foss/paris-call,"Issued by UNESCO and Inria, the Paris Call declares software source code as part of the world’s cultural and scientific heritage. It urges governments and stakeholders to preserve, share, and reuse code, underscoring its importance for sustainable development and open knowledge. The initiative builds upon Software Heritage's work archiving global software.",Inria; Paris Call; UNESCO; citation-problem; preservation; software heritage; source: ChatGPT-DR; sustainable development; valid,OpenAI-DR,valid,True
ZX6BPFUU,report,UNESCO Recommendation on Open Science,"Scientific, United Nations Educational; Cultural, Organization (UNESCO)",2021,,,,https://unesdoc.unesco.org/ark:/48223/pf0000379949,"UNESCO's landmark recommendation on Open Science recognizes that open access to scientific publications, data, software, and other research outputs is essential for global knowledge equity. It calls on member states to implement policies and infrastructures supporting open-source software development, capacity building, and removal of legal barriers, reinforcing software's role in inclusive, collaborative research.",UNESCO; global collaboration; open science; open-source software; policy framework; source: ChatGPT-DR; valid,OpenAI-DR,valid,True
HI6DVAHC,presentation,Towards Sustainable Digital Humanities Software,"George K., Thiruvathukal; Shilpika; Nicholas J., Hayward; Saulo, Aguiar; Konstantin, Läufer",2015,,,,https://ecommons.luc.edu/cs_facpubs/126/,"Focusing on digital humanities projects, this work argues for applying software quality metrics to ensure long-term sustainability. The authors introduce metrics like issue density and issue spoilage to evaluate project health over time. By analyzing open-source DH projects, they demonstrate how these metrics can highlight maintenance challenges (e.g., increasing backlog of issues). The paper calls for DH teams to adopt practices such as automated testing, regular refactoring, and engaging a broader developer community to reduce the risk of project abandonment.",citation-problem; digital humanities; issue spoilage; issue tracking; maintainability; project health; project management; quality assurance; software metrics; source: ChatGPT-DR; valid,OpenAI-DR,valid,True
9D7QHXHE,report,Recommendation on Access to Research Data from Public Funding (amended 2021),"Organisation for Economic, Co-operation; Development (OECD), Council",2021,,,,https://legalinstruments.oecd.org/public/doc/281/281.en.pdf,"The OECD Council updated its recommendation to explicitly include research software among the outputs that should be open and accessible when supported by public funding. Recognizes software as vital for data reproducibility and calls on member states to develop or strengthen infrastructure, policies, and incentives for open software. Part of a broader OECD emphasis on open science.",OECD; open science; public funding; research data; software sharing; source: ChatGPT-DR; valid,OpenAI-DR,valid,True
ATY3GWAZ,conferencePaper,Addressing Research Software Sustainability via Institutes,"Daniel S., Katz; Jeffrey C., Carver; Neil P. Chue, Hong; Sandra, Gesing; Simon, Hettrick; Tom, Honeyman; Karthik, Ram; Nicholas, Weber",2021-06,,,10.1109/BoKSS52540.2021.00013,https://ieeexplore.ieee.org/document/9470775,"Research software is essential to modern research, but it requires ongoing human effort to sustain: to continually adapt to changes in dependencies, to fix bugs, and to add new features. Software sustainability institutes, amongst others, develop, maintain, and disseminate best practices for research software sustainability, and build community around them. These practices can both reduce the amount of effort that is needed and create an environment where the effort is appreciated and rewarded. The UK SSI is such an institute, and the US URSSI and the Australian AuSSI are planning to become institutes, and this extended abstract discusses them and the strengths and weaknesses of this approach.",Best practices; Community; Computer bugs; Conferences; Funding; Planning; Policy; Research software; Software; Sustainability institutes; Sustainable development; URSSI; institutes; institutional support; persistence; research software; software best practices; software sustainability; software sustainability institutes; source: ChatGPT-DR; valid,OpenAI-DR,valid,True
82B6RVB6,conferencePaper,Analysis and Categorisation of Research Software in the Digital Humanities,"L., Harzenetter; others",2020,,,DOI not available,https://dh2020.adho.org/wp-content/uploads/2020/07/347_AnalysisandCategorisationofResearchSoftwareintheDigitalHumanities.html,"This poster presents the SustainLife approach, which uses TOSCA for preserving research software in the digital humanities. It categorizes various types of research software and outlines strategies for their long-term preservation.",TOSCA; citation-problem; conference poster; digital humanities; preservation; research software; source: ChatGPT-DR; valid,OpenAI-DR,valid,True
LH9HEQCV,report,National Research Software Strategy 2023,"Digital Research Alliance of Canada, National Research Software Strategy Working Group; Mark, Leggott; Girma, Bitsuamlak; Susan, Brown; Liseanne, Cadieux; Brian, Corrie; Carolyn, Côté-Lussier; Fares, Dhane; Félix-Antoine, Fortin; Kimberley, Hartley; Tamanna, Moharana; Pierre-Olivier, Quirion; Y.G., Rancourt; Seppo, Sahrakorpi; Abdel, Yousif; Qian, Zhang",2023-11-28,,,,https://zenodo.org/doi/10.5281/zenodo.10214740,"The Alliance Research Software (RS) Strategy for 2025-2030 (the RS Strategy) builds on past RS foundations, leverages the strengths of past RS programs, while at the same time addressing the weaknesses of having a historically disjoint and uncoordinated national strategy for RS.The RS Strategy presents:
- an overview of the current state of the RS landscape nationally and internationally;
- a set of challenges and opportunities in RS service provision for the Alliance as a national funder, service provider and coordinator;
- a vision and goals to support the complete RS lifecycle (developing, deploying, and sustaining) while also developing career paths for the research software experts (RSEs) who create and support it; 
- strategic recommendations that will increase the value of an integrated DRI ecosystem by focusing on high-value aspects of RS and in particular where RS overlaps with Advanced Research Computing (ARC) and Research Data Management (RDM).",capacity; citation-problem; community; coordination; cybersecurity; events; framework; funding; governance; infrastructure; platforms; policy; research data; research software (RS); research software ecosystem; source: ChatGPT-DR; strategy; training &amp; support; valid,OpenAI-DR,valid,True
5Z8EIUSP,journalArticle,The FAIR Guiding Principles for scientific data management and stewardship,"Mark D., Wilkinson; Michel, Dumontier; IJsbrand Jan, Aalbersberg; Gabrielle, Appleton; Myles, Baker; others",2016,Scientific Data,,10.1038/sdata.2016.18,,"Proposes a set of foundational principles to make scientific data Findable, Accessible, Interoperable, and Reusable (FAIR). The paper articulates each principle and the rationale, aiming to improve data discovery and reuse by both humans and machines. It does not directly address software, but it has become influential in shaping subsequent efforts to apply similar principles to code. Helps contextualize why FAIR for software emerged.",Data management; Data stewardship; FAIR; Interoperability; Open data; Principles; source: ChatGPT-DR; valid,OpenAI-DR,valid,True
RHSQDX2Y,journalArticle,What Ever Happened to Project Bamboo?,"Quinn, Dombrowski",2014,Literary and Linguistic Computing (Digital Scholarship in the Humanities),,10.1093/llc/fqu026,,"Analyzes the Project Bamboo initiative, chronicling its origins, development, and ultimate closure. Identifies key challenges: unclear scope, difficulties in interdisciplinary collaboration, insufficient focus on deliverables, and sustainability planning. Offers lessons learned for future cyberinfrastructure projects in humanities.",Case study; Cyberinfrastructure; Digital humanities; Project Bamboo; Sustainability failure; source: ChatGPT-DR; valid,OpenAI-DR,valid,True
TYP7HLAI,report,Scholarly Infrastructures for Research Software (SIRS) Report,"EOSC Architecture Working, Group",2020,,,,https://doi.org/10.2777/28598,"This EOSC WG report reviews the landscape of research software infrastructures across Europe. It advocates treating software as a first-class citizen in the EOSC, with persistent identifiers (SWHIDs, DOIs), standardized metadata, and integration into scholarly workflows. Recommends coordinated funding for archiving and sustaining software, and aligning policies around open-source code repositories.",EOSC; Europe; SIRS; infrastructure; open science; research software; source: ChatGPT-DR; valid,OpenAI-DR,valid,True
