Tool,Verification_Status,Hallucination_Risk,Services_Count,Journals,Status_Simple,Notes
3D scanning and 3D printing technology,FALSE_POSITIVE (technology category extracted as tool),LOW,1,Internet Archaeology,FALSE_POSITIVE,
3DArq,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
ABBYY FineReader,VERIFIED_REAL (well-known software),LOW,1,JOSS,REAL,
ABCD,VERIFIED_REAL (Access to Biological Collection Data standard),LOW,1,Internet Archaeology,REAL,
AIKoGAM,VERIFIED_REAL (additional known),LOW,1,JCAA,REAL,
AMCR-PAS portal,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
ARCHIS,LIKELY_REAL (cross-validated),LOW (cross-validated),2,Multiple (sample run) | Internet Archaeology | Multiple,LIKELY_REAL,
ARIADNE,VERIFIED_REAL (baseline/evidence/metadata),MEDIUM,1,Internet Archaeology,REAL,
ActiveX,VERIFIED_REAL (well-known software),MEDIUM,1,Internet Archaeology,REAL,
Adobe Acrobat,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Adobe Illustrator CS2,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Advanced viewshed analysis,VERIFIED_REAL (additional known),MEDIUM,1,JOSS,REAL,
Agisoft PhotoScan,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Ajax,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Annotorious,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOAD,REAL,
Arc/Info,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
ArcGIS,VERIFIED_REAL (well-known software),LOW (cross-validated),2,Internet Archaeology | JCAA,REAL,
ArcGIS 10.5,VERIFIED_REAL (well-known software),LOW,1,JCAA,REAL,
ArcGIS skeletal templates,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
ArcMap,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
ArcScene,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
ArcView GIS,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
ArcView GIS 3.3,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Arch-I-Scan,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),3,Multiple (sample run) | Internet Archaeology | JCAA | Multiple,REAL,
ArchABM,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
ArchAIDE,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,Multiple (sample run) | Internet Archaeology | Multiple,REAL,
ArchAIDE desktop application,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
