Tool_Name_Standardised,Name_Variants,Discovery_Count,LLM_Services,LLM_Services_Count,LLM_Models,Harnesses,Journals,Journals_Count,Run_Qualities,Sample_Article_Title,Sample_URL,Hallucination_Risk
3D scanning and 3D printing technology,3D scanning and 3D printing technology,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Creation of Functional Replica Roman and Late Antique Musical Instruments through 3D Scanning and Printing Technology, and their use in research and museum education",https://intarch.ac.uk/journal/issue56/1/index.html,LOW
3DArq,3DArq (3D modelling tool),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Advancements in 3D Modelling for Archaeological Artifacts,https://doi.org/10.5334/joad.160,HIGH
ABBYY FineReader,ABBYY FineReader,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,DataScribe: An Omeka S module for structured data transcription (Journal of Open Source Software: DataScribe: An Omeka S module for structured data transcription),https://joss.theoj.org/papers/10.21105/joss.05661,LOW
ABCD,ABCD,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Foreword,https://intarch.ac.uk/journal/issue1/foreword.html,LOW
AIKoGAM,AIKoGAM,1,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,AIKoGAM: An AI-driven Knowledge Graph of the Antiquities Market: Toward Automatised Methods to Identify Illicit Trafficking Networks,https://doi.org/10.5334/jcaa.130,LOW
AMCR-PAS portal,AMCR-PAS portal,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Recording Data from Metal-Detecting Activities in the Czech Republic: The Portal of Amateur Collaborators and Register of Individual Finds (AMCR-PAS),https://intarch.ac.uk/journal/issue64/13/index.html,LOW
ARCHIS,"ARCHIS | ARCHIS (central archaeological information system, Netherlands)",5,ChatGPT Deep Research | Perplexity Deep Research,2,Unknown (Deep Research) | Perplexity Pro,Deep Research (web) | Perplexity (web),Multiple (sample run) | Internet Archaeology | Multiple,3,sample | fail | success | synthetic-prompt,,Closed-source,LOW (cross-validated)
ARIADNE,ARIADNE,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,Enabling European Archaeological Research: The ARIADNE E-Infrastructure,https://intarch.ac.uk/journal/issue43/aloia_toc.html,MEDIUM
ActiveX,ActiveX,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,Communicating Archaeological Risk with Web-Based Virtual Reality: A Case Study,https://intarch.ac.uk/journal/issue31/landeschi-carrozzino_index.html,MEDIUM
Adobe Acrobat,Adobe Acrobat,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Archaeological Applications of GIS - CD-ROM Proceedings of Colloquium II, UISPP XIIIth Congress, Forli, Italy",https://intarch.ac.uk/journal/issue5/reviews/wheatley.html,LOW
