Tool,Has-DVCS,Gist-only,AI-classification,Human-review,In-final-list,Discovery-overlap,Unique-to-OpenArchaeo,Metadata-investigated,Evidence-investigated
14C-power-sensitivity,yes,no,yes,Yes,yes,no,yes,no,no
3D-ORGAN,yes,no,yes,Yes,yes,no,yes,no,no
3D-survey-collection,yes,no,yes,Yes,yes,no,yes,no,no
3D_EdgeAngle,yes,no,yes,Yes,yes,no,yes,no,no
3d_spatial_ripley_analyses,yes,no,yes,Yes,yes,no,yes,no,no
ADMUR,yes,no,yes,Yes,yes,no,yes,no,no
AIS,yes,no,no,Yes,yes,no,yes,no,no
ARFloorPlanApp,yes,no,yes,Yes,yes,no,yes,no,no
ARK1,yes,no,no,Yes,yes,no,yes,no,no
ARQUB,yes,no,yes,Yes,yes,no,yes,no,no
Akkademia,yes,no,yes,Yes,yes,no,yes,no,no
Al2O3_AnalysisApp,yes,no,yes,Yes,yes,no,yes,no,no
Alligator,yes,no,yes,Yes,yes,no,yes,no,no
ArboDat,no,no,yes,Yes,yes,no,yes,no,no
ArchAIDE,yes,no,yes,Yes,yes,yes,no,yes,yes
ArchJobCAD,yes,no,yes,Yes,yes,no,yes,no,no
ArchaeoAstroInsight,yes,no,yes,Yes,yes,no,yes,no,no
ArchaeoCal,yes,no,yes,Yes,yes,no,yes,no,no
ArchaeoChron,yes,no,yes,Yes,yes,no,yes,no,no
ArchaeoData,yes,no,yes,Yes,yes,no,yes,no,no
ArchaeoLines,yes,no,yes,Yes,yes,no,yes,no,no
ArchaeoMag,yes,no,yes,Yes,yes,no,yes,no,no
ArchaeoPhases,yes,no,yes,Yes,yes,yes,no,yes,yes
ArchaeolPhytoliths,yes,no,yes,Yes,yes,no,yes,no,no
ArcheOS,yes,no,no,Yes,yes,no,yes,no,no
ArcheoShape,yes,no,yes,Yes,yes,no,yes,no,no
Ark2,yes,no,no,Yes,yes,no,yes,no,no
ArkGrid,yes,no,yes,Yes,yes,no,yes,no,no
ArkMatrix,yes,no,yes,Yes,yes,no,yes,no,no
ArkScan,yes,no,yes,Yes,yes,no,yes,no,no
ArkSpatial,yes,no,yes,Yes,yes,no,yes,no,no
Arothron,yes,no,yes,Yes,yes,no,yes,no,no
Artifact_Class_Diversity,yes,no,yes,Yes,yes,no,yes,no,no
Artifacts-Analyzer,yes,no,yes,Yes,yes,no,yes,no,no
BAM,yes,no,yes,Yes,yes,no,yes,no,no
BasicMapping,no,no,yes,Yes,yes,no,yes,no,yes
BayLum,yes,no,yes,Yes,yes,no,yes,no,no
Bchron,yes,no,yes,Yes,yes,yes,no,yes,yes
Binomial-Co-occurrence-Assessment,yes,no,yes,Yes,yes,no,yes,no,no
BioArch_R,yes,no,yes,Yes,yes,no,yes,no,no
BioProfile,yes,no,yes,Yes,yes,no,yes,no,no
Bonify,no,no,yes,Yes,yes,no,yes,no,no
Bootstrap-Correspondence-Analysis,yes,no,yes,Yes,yes,no,yes,no,no
BraDypUS,yes,no,yes,Yes,yes,no,yes,no,no
Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,yes,no,yes,Yes,yes,no,yes,no,no
CAinterprTools,yes,no,yes,Yes,yes,no,yes,no,no
CAseriation,yes,no,yes,Yes,yes,no,yes,no,yes
CSGR,yes,no,yes,Yes,yes,no,yes,no,no
CeraMatch,yes,no,yes,Yes,yes,no,yes,no,no
Ceramic-Frequency-Date-Plot,yes,no,yes,Yes,yes,no,yes,no,no
CeramicApportioning,yes,no,yes,Yes,yes,no,yes,no,no
Ceramic_Dashboard,yes,no,yes,Yes,yes,no,yes,no,no
CharTool,yes,no,yes,Yes,yes,no,yes,no,no
ChronoLog,no,no,yes,Yes,yes,no,yes,no,no
Chronophage,no,no,yes,Yes,yes,no,yes,no,yes
CloudCal,yes,no,yes,Yes,yes,no,yes,no,no
CoccionCeramica,yes,no,yes,Yes,yes,no,yes,no,no
CropPro,yes,no,yes,Yes,yes,no,yes,no,no
Crossbones,no,no,yes,Yes,yes,no,yes,no,yes
CuneiPainter,yes,no,yes,Yes,yes,no,yes,no,no
DACORD,yes,no,yes,Yes,yes,no,yes,no,no
DIGSS,yes,no,yes,Yes,yes,no,yes,no,no
DRAC-calculator,yes,no,yes,Yes,yes,no,yes,no,no
DroneSurveyPlanner,yes,no,yes,Yes,yes,no,yes,no,no
E5,yes,no,no,Yes,yes,no,yes,no,no
EDM,yes,no,yes,Yes,yes,no,yes,no,no
EDMWIN,yes,no,yes,Yes,yes,no,yes,no,no
EM-blender-tools,yes,no,yes,Yes,yes,no,yes,no,no
ElementSourcing,yes,no,yes,Yes,yes,no,yes,no,no
Excavation_data_viewer,yes,no,yes,Yes,yes,no,yes,no,no
Explographe,no,no,yes,Yes,yes,no,yes,no,yes
ExtendedMatrix,yes,no,no,Yes,yes,no,yes,no,no
Fiche Stratigraphique Numérique (FSN),no,no,no,Yes,yes,no,yes,no,yes
Fix-exif-artist,yes,no,yes,Yes,yes,no,yes,no,no
Ford-Diagram,yes,no,yes,Yes,yes,no,yes,no,no
FuzzyViewshed,yes,no,yes,Yes,yes,no,yes,no,no
Geostat,yes,no,yes,Yes,yes,no,yes,no,no
GlobaLID-App,yes,no,yes,Yes,yes,no,yes,no,no
GmAMisc,yes,no,yes,Yes,yes,no,yes,no,no
Harris-matrix-legacy,no,no,yes,Yes,yes,no,yes,no,yes
HumanOS,no,no,no,Yes,yes,no,yes,no,no
IOSACal,yes,no,yes,Yes,yes,no,yes,no,no
IntCal,yes,no,no,Yes,yes,no,yes,no,no
Iraq_mortar,yes,no,yes,Yes,yes,no,yes,no,no
Kmeans,yes,no,yes,Yes,yes,no,yes,no,no
LA_ICP_MS-Routines_FMNH,yes,no,yes,Yes,yes,no,yes,no,no
LISA,no,no,yes,Yes,yes,no,yes,no,yes
Le Stratifiant,no,no,yes,Yes,yes,no,yes,no,yes
Lithics3D,yes,no,yes,Yes,yes,no,yes,no,no
LumReader,yes,no,yes,Yes,yes,no,yes,no,no
Luminescence,yes,no,yes,Yes,yes,yes,no,yes,yes
MAX,yes,no,yes,Yes,yes,no,yes,no,no
Mask_UAV,yes,no,yes,Yes,yes,no,yes,no,no
Mean-Ceramic-Date-and-Error-Estimation,yes,no,yes,Yes,yes,no,yes,no,no
MoDuLAAR,yes,no,yes,Yes,yes,no,yes,no,no
MtreeRing,yes,no,yes,Yes,yes,no,yes,no,no
NAA analytical dashboard,yes,no,yes,Yes,yes,no,yes,no,no
Near-Presence-Analysis,yes,no,yes,Yes,yes,no,yes,no,no
ODK-forms-archaeology,yes,no,no,Yes,yes,no,yes,no,no
ODKArchForms,yes,no,yes,Yes,yes,no,yes,no,no
Open History Map,yes,no,yes,Yes,yes,no,yes,no,no
OpenAtlas,yes,no,no,Yes,yes,no,yes,no,no
OpenLidarToolbox,yes,no,yes,Yes,yes,no,yes,no,no
PLC,no,no,yes,Yes,yes,no,yes,no,yes
