Tool,Status,Article,URL,Run
SAGAscape,UNCLEAR,,https://sagascape.uni-koeln.de,Perplexity-SyntheticPrompt-DR
ArchAIDE,UNCLEAR,,Closed-source,FullDetail - Sample Run 1
ArcGIS,MISATTRIBUTED,"GIS Visualisations of Mortuary Data from Holešov, Czech Republic",https://intarch.ac.uk/journal/issue36/smejda_toc.html,IA-31-67 fail
Zooniverse Project Builder,MISATTRIBUTED,DataScribe: An Omeka S module for structured data transcription (Journal of Open Source Software: DataScribe: An Omeka S module for structured data transcription),https://joss.theoj.org/papers/10.21105/joss.05661,JOSS-secondpass (much better)
Microsoft Access 2003,MISATTRIBUTED,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,IA-run2-success
GRASS GIS,MISATTRIBUTED,Listening to the Landscapes: Modelling Soundscapes in GIS,https://intarch.ac.uk/journal/issue16/mlekuz_index.html,IA-run2-success
QuickTime VR,MISATTRIBUTED,"Debriefing the Land: The Use of Non-immersive Virtual Reality Technologies to Record, Navigate and Analyse Artefact-rich Landscapes",https://intarch.ac.uk/journal/issue8/larkman_toc.html,IA-run2-success
Paint Shop Pro,MISATTRIBUTED,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,IA-run2-success
Pioneer,MISATTRIBUTED,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,IA-run2-success
QGIS,MISATTRIBUTED,Geographic Information Systems in Archaeology: A Systematic Review,https://doi.org/10.5334/jcaa.104,JCAA-o3
Gephi,MISATTRIBUTED,Why did Cities Evolve in Gharb Al-Andalus? Network analysis as a potential method for charting city growth,https://intarch.ac.uk/journal/issue59/9/index.html,IA-run2-success
Reflectance Transformation Imaging,MISATTRIBUTED,Maeshowe: The Application of RTI to Norse Runes (Data Paper),https://intarch.ac.uk/journal/issue47/smith_et_al.html,IA-31-67 fail
geoChronR,CONFIRMED,"geoChronR: Geochronological tools for paleoclimate data in R,""N/A","Vol. 5, Iss. 45",Joss-fail-possible
stratigraphr,CONFIRMED,stratigraphr: Tools for stratigraphic diagrams and correlation in R,https://joss.theoj.org/papers/10.21105/joss.01136,JOSS-worthless-o3
ArchAIDE,CONFIRMED,"Developing the ArchAIDE Application: A digital workflow for identifying, organising and sharing archaeological pottery using automated image recognition",https://intarch.ac.uk/journal/issue52/anichini_toc.html,IA-31-67 fail
Arch-I-Scan,CONFIRMED,Exploring Automated Pottery Identification [Arch-I-Scan],https://intarch.ac.uk/journal/issue50/tyukin_toc.html,IA-31-67 fail
BCal,CONFIRMED,BCal: an on-line Bayesian radiocarbon calibration tool,https://intarch.ac.uk/journal/issue7/buck_index.html,IA-run2-success
VirtualArch project platform,CONFIRMED,VirtualArch: Making Archaeological Heritage Visible,https://intarch.ac.uk/journal/issue54/2/index.html,IA-run2-success
Swedish National Data Service,CONFIRMED,A Turn Towards the Digital. An Overview of Swedish Heritage Information Management Today,https://intarch.ac.uk/journal/issue58/19/index.html,IA-run2-success
LandML,CONFIRMED,Integrating GIS and Machine Learning for Landscape Archaeology,https://doi.org/10.5334/joad.120,JOAD-extreme fail
ChronoModelr,CONFIRMED,"ChronoModelr: A wrapper for ChronoModel Bayesian Archaeological Dating software,""N/A","Vol. 5, Iss. 45",Joss-fail-possible
ARCHIS,CONFIRMED,"A Toolbox for Archaeological Heritage Management. Maps, Methods and More for Effective and Efficient Selection of Valuable Archaeology",https://intarch.ac.uk/journal/issue49/lauwerier_toc.html,IA-31-67 fail
aion,CONFIRMED,"aion: A toolkit for simulating historical processes using agent-based modeling,""N/A","Vol. 4, Iss. 38",Joss-fail-possible
ARCHIS,CONFIRMED,"A Toolbox for Archaeological Heritage Management. Maps, Methods and More for Effective and Efficient Selection of Valuable Archaeology",https://intarch.ac.uk/journal/issue49/lauwerier_toc.html,IA-run2-success
c14bazAAR,CONFIRMED,c14bazAAR: An R package for downloading and preparing C14 dates from different source databases (Journal of Open Source Software: c14bazAAR: An R package for downloading and preparing C14 dates from different source databases),https://joss.theoj.org/papers/10.21105/joss.01914,JOSS-secondpass (much better)
chora,CONFIRMED,"chora: R package for analyzing morphological variables in chorology (historical geography),""N/A","Vol. 6, Iss. 52",Joss-fail-possible
stratigraphr,CONFIRMED,Archeofrag: an R package for Refitting and Spatial Analysis in Archaeology (Journal of Open Source Software: Archeofrag: an R package for Refitting and Spatial Analysis in Archaeology),https://joss.theoj.org/papers/10.21105/joss.04335,JOSS-secondpass (much better)
archeoViz,CONFIRMED,"archeoViz: A Web Interface for Spatial and Chronological Data Visualization in Archaeology,""N/A","Vol. 4, Iss. 36",Joss-fail-possible
pyrho,CONFIRMED,pyrho: a Python package for inferring local recombination rates from ancient DNA,https://joss.theoj.org/papers/10.21105/joss.01130,JOSS-worthless-o3
Burial Space Research Database,CONFIRMED,The Burial Space Research Database (Data Paper),https://intarch.ac.uk/journal/issue55/3/index.html,IA-run2-success
ArchABM,CONFIRMED,ArchABM: Agent-based modeling of ancient societies in R,https://joss.theoj.org/papers/10.21105/joss.01201,JOSS-worthless-o3
RACER,CONFIRMED,"RACER: Radiocarbon Analysis Calibration and Estimation in R,""N/A","Vol. 5, Iss. 45",Joss-fail-possible
Archaeology Data Service,CONFIRMED,Red Sky at Night: digital archiving in England 2020,https://intarch.ac.uk/journal/issue58/6/index.html,IA-run2-success
